ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
75016811013051,0.089,0.763,8.091,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
737128247009,0.092,0.815,3.067,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587928081,0.069,8.816,2.875,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058716804,0.186,16.221,2.241,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058715531,0.746,11.171,4.663,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058716767,0.521,94.808,3.34,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058717023,4.114,123.07,17.581,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587965781,0.047,2.908,1.88,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058796585,0.137,17.423,2.537,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7503002319536,0.482,48.842,3.951,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058716088,0.178,31.361,2.871,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058757791,0.408,78.018,2.738,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058715364,0.013,0.249,4.333,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75000608,2.786,25.22,36.658,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75000622,38.901,982.231,101.305,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058752772,0.19,5.895,4.051,TOTAL AUTOS AREA 6,2022-11-20,46-22,46,11,2022
7501025450212,18.875,499.139,154.713,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7891035040276,5.378,69.306,22.131,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
4008455458618,0.261,16.588,3.263,TOTAL AUTOS AREA 6,2022-03-06,09-22,9,3,2022
7501025412401,0.195,6.474,4.239,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
77026262042081,2.582,28.057,14.188,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
4008455425412,0.393,22.883,4.052,TOTAL AUTOS AREA 6,2022-03-06,09-22,9,3,2022
7501025405090,9.241,187.035,24.255,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587927781,0.001,0.142,1.0,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7501071902086,1.91,56.147,7.702,TOTAL AUTOS AREA 6,2022-03-06,09-22,9,3,2022
